0,12.2,12.2,12.2,12.2,24.2,24.2,24.2,24.2,25.36
12.2,0,15.18,19.4,15.18,17.0,25.51,31.4,25.51,21.1
12.2,15.18,0,15.18,19.4,25.51,17.0,25.51,31.4,21.1
12.2,19.4,15.18,0,15.18,31.4,25.51,17.0,25.51,30.96
12.2,15.18,19.4,15.18,0,25.51,31.4,25.51,17.0,30.96
24.2,17.0,25.51,31.4,25.51,0,32.15,43.4,32.15,20.18
24.2,25.51,17.0,25.51,31.4,32.15,0,32.15,43.4,20.18
24.2,31.4,25.51,17.0,25.51,43.4,32.15,0,32.15,41.56
24.2,25.51,31.4,25.51,17.0,32.15,43.4,32.15,0,41.56
25.36,21.1,21.1,30.96,30.96,20.18,20.18,41.56,41.56,0
